WSLR_NBR,SURV_CWC_WSLR_CUST_PARTY_ID,CAL_YR_MO_NBR,PROD_CD,ACTION
51341,205805388,201901,spg,MAINTAIN
51341,205805388,201901,stf,INCREASE
51341,205805388,201901,virtuefamily,MAINTAIN
51341,205805388,201901,nonalcbrands,MAINTAIN
51341,205805388,201901,muc,MAINTAIN
51341,205805388,201901,mic,MAINTAIN
51341,205805388,201901,bws,MAINTAIN
51341,205805388,201901,budreserve,INCREASE
51341,205805388,201901,spikedseltzerfamily,INCREASE
51341,205805388,201901,ntd,INCREASE
51341,205805388,201901,mul,INCREASE
51341,205805388,201901,lsl,INCREASE
51341,205805388,201901,shocktopfamily,MAINTAIN
51341,205805388,201901,goldenroadfamily,INCREASE
51341,205805388,201901,nti,INCREASE
51341,205805388,201901,bsh,INCREASE
51341,205805388,201901,barrelfamily,INCREASE
51341,205805388,201901,bdl,INCREASE
51341,205805388,201901,bhl,INCREASE
10500,169023726,201901,budreserve,MAINTAIN
10500,169023726,201901,bll,INCREASE
10500,169023726,201901,gooseislandfamily,MAINTAIN
10500,169023726,201901,hgh,INCREASE
10500,169023726,201901,bdo,INCREASE
10500,169023726,201901,idb,INCREASE
10500,169023726,201901,blp,INCREASE
10500,169023726,201901,spikedseltzerfamily,INCREASE
10500,169023726,201901,stf,INCREASE
10500,169023726,201901,hoe,INCREASE
10500,169023726,201901,est,INCREASE
10500,169023726,201901,elysianfamily,INCREASE
10500,169023726,201901,cheladafamily,INCREASE
10500,169023726,201901,bws,INCREASE
10500,169023726,201901,bud,INCREASE
10500,169023726,201901,bsh,MAINTAIN
10500,169023726,201901,bestdamnfamily,INCREASE
10500,169023726,201901,becksfamily,INCREASE
10500,169023726,201901,bdd,MAINTAIN
10500,169023726,201901,basspaleale,MAINTAIN
10500,169023726,201901,abn,INCREASE
10500,169023726,201901,rck,INCREASE
10500,169023726,201901,kcm,INCREASE
10500,169023726,201901,leffefamily,MAINTAIN
10500,169023726,201901,mab,INCREASE
10500,169023726,201901,bdl,INCREASE
10500,169023726,201901,sta,INCREASE
10500,169023726,201901,spg,INCREASE
10500,169023726,201901,shocktopfamily,INCREASE
10500,169023726,201901,othersuperpremium,INCREASE
10500,169023726,201901,mcl,INCREASE
10500,169023726,201901,otherpremium,INCREASE
10500,169023726,201901,stellaartoisfamily,INCREASE
10500,169023726,201901,othercoreplus,INCREASE
10500,169023726,201901,nti,INCREASE
10500,169023726,201901,ntd,MAINTAIN
10500,169023726,201901,nonalcbrands,INCREASE
10500,169023726,201901,nattyrushfamily,INCREASE
10500,169023726,201901,mul,INCREASE
10500,169023726,201901,mic,INCREASE
