cal_yr_mo_nbr,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10
201401,swa,ntd,bws,bll,chl,mgl,blp,mul,bsf,bkx,0,0,0,0,1,0,0,1,0,0
201402,ibh,bhl,bll,idb,nti,sam,mul,est,bsh,sta,0,0,0,0,0,0,1,1,0,1
201403,mgl,bll,gpx,bdl,bsf,bud,chl,idb,blr,sam,0,0,0,1,0,1,1,0,0,0
201404,bsf,bdl,bud,idb,gpx,sam,blr,bll,chl,mgl,0,1,1,0,0,0,0,0,1,0
201405,mgl,gpx,bud,idb,sam,bsf,chl,bdl,bll,blr,0,0,1,0,0,0,1,1,0,0
201406,bud,bll,chl,gpx,idb,mgl,bdl,bsf,blr,sam,1,0,1,0,0,0,1,0,0,0
201407,est,blr,blp,bsh,sam,bkx,bdl,bud,bws,mgl,1,0,0,0,0,0,1,1,0,0
201408,bud,hgh,bly,mgl,bkx,abn,bhl,sta,swa,blr,1,0,0,0,0,0,0,1,0,0
201409,sam,bdl,bsf,bll,bud,blr,mgl,chl,idb,gpx,0,1,0,0,1,0,0,1,0,0
201410,bly,abn,bhl,nti,ntd,sta,blr,mgl,bud,bla,0,0,0,0,0,1,0,0,1,0
201411,est,swa,bla,bsf,mul,nti,blp,rck,sam,sta,1,0,0,0,1,0,0,1,0,1
201412,sam,bll,blr,gpx,idb,mgl,bsf,chl,bud,bdl,0,0,0,0,0,0,0,1,1,1
201501,hgh,bws,bsh,sta,abn,bly,rck,kcm,blr,bud,0,0,0,1,0,0,1,1,0,1
201502,sam,gpx,bla,bkx,bud,bll,bsh,chl,bly,bsf,0,0,0,0,1,0,0,1,0,0
201503,bll,bdl,sam,blr,idb,bsf,gpx,mgl,bud,chl,0,1,0,0,0,0,0,0,1,1
201504,bud,blr,gpx,bsf,chl,bll,idb,sam,mgl,bdl,1,0,0,0,1,0,0,0,0,1
201505,blr,bdl,sam,bud,bsf,mgl,bll,gpx,chl,idb,0,1,0,1,0,0,0,0,1,0
201506,blr,bsh,bly,bud,rck,sta,bws,kcm,abn,hgh,0,0,0,1,1,1,0,1,0,0
201507,blr,chl,bsf,idb,gpx,bud,mgl,sam,bdl,bll,0,1,0,0,0,1,0,0,1,0
201508,bkx,bsh,bdl,gpx,abn,sta,chl,mul,rck,ibh,0,0,1,0,0,1,1,1,1,0
201509,gpx,chl,bud,bsf,idb,bll,bdl,sam,blr,mgl,0,1,1,0,0,0,1,0,0,0
201510,sam,mgl,gpx,bll,chl,bsf,bud,idb,bdl,blr,0,0,0,0,1,0,1,0,1,0
201511,hgh,ntd,abn,sta,swa,blr,kcm,sam,blp,bll,0,0,0,1,0,0,1,0,0,0
201512,bud,bkx,kcm,mgl,rck,abn,mul,idb,bly,blp,1,0,1,0,1,0,1,0,0,0
201601,bdl,bll,blr,bud,chl,mgl,idb,gpx,bsf,sam,1,0,0,1,1,0,0,0,0,0
201602,bly,hgh,bla,bdl,gpx,idb,blp,bws,swa,bhl,0,0,0,1,0,0,0,0,0,0
201603,ibh,gpx,nti,bsh,bkx,bws,bud,bhl,abn,idb,0,0,0,0,0,0,1,0,0,0
201604,mgl,bsf,chl,gpx,blr,bud,sam,idb,bll,bdl,0,0,1,0,0,1,0,0,0,1
201605,rck,gpx,sta,idb,bkx,bsf,blp,chl,est,kcm,1,0,1,0,0,0,0,1,1,1
201606,gpx,bsf,blr,idb,bll,mgl,bud,bdl,sam,chl,0,0,0,0,0,0,1,1,0,1
201607,bll,idb,blr,bdl,sam,bud,gpx,mgl,bsf,chl,0,0,0,1,0,1,0,0,0,1
201608,abn,ntd,blp,bll,hgh,swa,sta,sam,blr,kcm,0,0,0,0,0,0,1,0,0,1
201609,gpx,bws,est,bdl,idb,bla,bsf,swa,nti,bkx,0,0,1,1,0,0,0,0,0,0
201610,bud,mul,swa,gpx,kcm,est,bly,bws,nti,ibh,1,1,0,0,1,1,0,0,0,0
201611,bll,gpx,bdl,sam,bsf,bud,chl,mgl,idb,blr,0,0,1,0,0,1,1,0,0,0
201612,mgl,chl,idb,bud,bdl,bsf,sam,gpx,blr,bll,0,1,0,1,1,0,0,0,0,0
201701,bsh,blp,est,kcm,bws,bud,mgl,mul,bly,bla,0,0,1,1,0,1,0,1,0,0
201702,blr,bll,gpx,idb,bsf,bud,sam,bdl,mgl,chl,0,0,0,0,0,1,0,1,0,1
201703,bws,bsh,bkx,bud,bla,chl,kcm,bhl,bsf,sam,0,0,0,1,0,1,1,0,0,0
201704,sta,bud,mgl,mul,bws,bll,bsh,ntd,idb,sam,1,1,0,1,0,0,0,0,0,0
201705,swa,bla,hgh,bws,chl,rck,sta,blp,nti,idb,0,0,0,0,1,1,1,0,0,0
201706,mgl,sam,bll,idb,blr,bsf,bud,gpx,chl,bdl,0,0,0,0,0,0,1,0,1,1
201707,bws,bll,bdl,est,chl,bkx,mul,blr,rck,sta,0,0,1,1,1,0,1,0,1,1
201708,bud,bws,ibh,blp,sam,bly,bsh,mgl,rck,kcm,1,0,0,0,0,0,0,0,1,1
201709,bdl,bsf,chl,mgl,blr,idb,sam,bud,bll,gpx,1,0,1,0,0,0,0,1,0,0
201710,blr,bll,ntd,bdl,gpx,mul,ibh,idb,kcm,chl,0,0,0,1,0,1,0,0,1,1
201711,mgl,abn,sam,rck,chl,bsh,mul,gpx,blp,bly,0,0,0,1,1,0,1,0,0,0
201712,bdl,hgh,rck,mul,nti,bla,chl,blr,bly,abn,1,0,1,1,0,0,1,0,0,0
201801,bsf,bll,sam,bud,mgl,chl,bdl,gpx,blr,idb,0,0,0,1,0,1,1,0,0,0
201802,blr,mgl,sam,idb,bdl,bsf,bud,gpx,chl,bll,0,0,0,0,1,0,1,0,1,0
201803,ibh,kcm,gpx,nti,est,mul,bly,swa,bws,bud,0,1,0,0,1,1,0,0,0,1
201804,sam,mul,rck,chl,mgl,bsh,gpx,abn,blp,bly,0,1,1,1,0,0,0,0,0,0
201805,bdl,bkx,bll,rck,mul,est,sta,bws,chl,blr,1,0,0,1,1,1,1,0,1,0
201806,bud,idb,blr,bll,gpx,bsf,sam,mgl,chl,bdl,1,0,0,0,0,0,0,0,1,1
201807,sam,ntd,bll,mul,mgl,est,gpx,bws,blp,bhl,0,0,0,1,0,1,0,0,0,0
201808,bud,idb,mgl,bdl,bll,blr,bsf,chl,gpx,sam,1,0,0,1,0,0,0,1,0,0
201809,bud,blr,hgh,chl,idb,bll,est,rck,gpx,bhl,1,0,0,1,0,0,1,1,0,0
201810,bll,gpx,bsf,chl,idb,sam,bud,mgl,blr,bdl,0,0,0,1,0,0,1,0,0,1
201811,bll,bud,bdl,blr,idb,mgl,bsf,chl,gpx,sam,0,1,1,0,0,0,0,1,0,0
201812,bsf,blr,bud,bll,chl,mgl,bdl,gpx,idb,sam,0,0,1,0,1,0,1,0,0,0
201901,est,ibh,kcm,sta,rck,mul,bdl,chl,bud,ntd,1,0,1,1,1,1,1,1,1,0
201902,est,ntd,kcm,sta,rck,mul,bdl,chl,bud,bhl,1,0,1,1,1,1,1,1,1,0
201903,est,bhl,kcm,sta,rck,mul,bdl,chl,bud,ibh,1,0,1,1,1,1,1,1,1,0
201904,est,nti,kcm,sta,rck,mul,bdl,chl,bud,bla,1,0,1,1,1,1,1,1,1,0
201905,est,ibh,kcm,sta,rck,mul,bdl,chl,bud,ntd,1,0,1,1,1,1,1,1,1,0
201906,est,nti,kcm,sta,rck,mul,bdl,chl,bud,hgh,1,0,1,1,1,1,1,1,1,0
201907,est,ibh,kcm,sta,rck,mul,bdl,chl,bud,ntd,1,0,1,1,1,1,1,1,1,0
201908,est,swa,kcm,sta,rck,mul,bdl,chl,bud,hgh,1,0,1,1,1,1,1,1,1,0
201909,est,bla,kcm,sta,rck,mul,bdl,chl,bud,bhl,1,0,1,1,1,1,1,1,1,0
201910,est,ntd,kcm,sta,rck,mul,bdl,chl,bud,nti,1,0,1,1,1,1,1,1,1,0
201911,est,hgh,kcm,sta,rck,mul,bdl,chl,bud,ibh,1,0,1,1,1,1,1,1,1,0
201912,est,bla,kcm,sta,rck,mul,bdl,chl,bud,swa,1,0,1,1,1,1,1,1,1,0
202001,est,nti,kcm,sta,rck,mul,bdl,chl,bud,bhl,1,0,1,1,1,1,1,1,1,0
202002,est,ibh,kcm,sta,rck,mul,bdl,chl,bud,ntd,1,0,1,1,1,1,1,1,1,0
202003,est,abn,kcm,sta,rck,mul,bdl,chl,bud,hgh,1,0,1,1,1,1,1,1,1,0
202004,est,bla,kcm,sta,rck,mul,bdl,chl,bud,swa,1,0,1,1,1,1,1,1,1,0
202005,est,bkx,kcm,sta,rck,mul,bdl,chl,bud,bhl,1,0,1,1,1,1,1,1,1,0
202006,est,ntd,kcm,sta,rck,mul,bdl,chl,bud,nti,1,0,1,1,1,1,1,1,1,0
202007,est,hgh,kcm,sta,rck,mul,bdl,chl,bud,ibh,1,0,1,1,1,1,1,1,1,0
202008,est,abn,kcm,sta,rck,mul,bdl,chl,bud,bsh,1,0,1,1,1,1,1,1,1,0
202009,est,bla,kcm,sta,rck,mul,bdl,chl,bud,swa,1,0,1,1,1,1,1,1,1,0
