cal_yr_mo_nbr,brnd_cd,sales_exec
201401,sam,0
201401,est,1
201401,bla,0
201401,hgh,0
201401,kcm,1
201401,blr,0
201401,nti,0
201401,bud,1
201401,bdl,1
201401,rck,1
201402,bsf,0
201402,bll,0
201402,bud,1
201402,gpx,0
201402,ntd,0
201402,chl,1
201402,blr,0
201402,blp,0
201402,sta,1
201402,abn,0
201403,rck,1
201403,hgh,0
201403,bdl,1
201403,bll,0
201403,blp,0
201403,gpx,0
201403,ntd,0
201403,bla,0
201403,sam,0
201403,bkx,0
201404,blr,0
201404,gpx,0
201404,nti,0
201404,ntd,0
201404,swa,0
201404,blp,0
201404,bdl,1
201404,mul,1
201404,sta,1
201404,abn,0
201405,rck,1
201405,blp,0
201405,ntd,0
201405,sam,0
201405,bll,0
201405,gpx,0
201405,bdl,1
201405,bkx,0
201405,bla,0
201405,hgh,0
201406,blp,0
201406,gpx,0
201406,hgh,0
201406,ntd,0
201406,rck,1
201406,bdl,1
201406,bll,0
201406,bla,0
201406,sam,0
201406,bkx,0
201407,ntd,0
201407,bla,0
201407,blp,0
201407,sam,0
201407,bkx,0
201407,bdl,1
201407,gpx,0
201407,hgh,0
201407,rck,1
201407,bll,0
201408,gpx,0
201408,blp,0
201408,ntd,0
201408,bla,0
201408,bdl,1
201408,bkx,0
201408,rck,1
201408,sam,0
201408,bll,0
201408,hgh,0
201409,sam,0
201409,bll,0
201409,bkx,0
201409,blp,0
201409,bla,0
201409,rck,1
201409,gpx,0
201409,ntd,0
201409,hgh,0
201409,bdl,1
201410,chl,1
201410,blr,0
201410,rck,1
201410,kcm,1
201410,swa,0
201410,bws,0
201410,ibh,0
201410,hgh,0
201410,bsh,0
201410,bkx,0
201411,bly,0
201411,abn,0
201411,blr,0
201411,bsh,0
201411,bud,1
201411,bla,0
201411,bws,0
201411,est,1
201411,hgh,0
201411,ntd,0
201412,sta,1
201412,chl,1
201412,mgl,0
201412,mul,1
201412,sam,0
201412,est,1
201412,ibh,0
201412,gpx,0
201412,bll,0
201412,bsf,0
201501,est,1
201501,bla,0
201501,mul,1
201501,abn,0
201501,bkx,0
201501,idb,0
201501,ibh,0
201501,bdl,1
201501,bly,0
201501,bsh,0
201502,swa,0
201502,blr,0
201502,bkx,0
201502,ibh,0
201502,bsh,0
201502,hgh,0
201502,kcm,1
201502,bws,0
201502,chl,1
201502,rck,1
201503,bla,0
201503,sam,0
201503,blr,0
201503,nti,0
201503,bud,1
201503,kcm,1
201503,rck,1
201503,est,1
201503,hgh,0
201503,bdl,1
201504,blp,0
201504,hgh,0
