cal_yr_mo_nbr,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10
201401,sam,rck,est,bla,hgh,kcm,blr,nti,bud,bdl,0,1,1,0,0,1,0,0,1,1
201402,bsf,abn,bll,bud,gpx,ntd,chl,blr,blp,sta,0,0,0,1,0,0,1,0,0,1
201403,rck,bkx,hgh,bdl,bll,blp,gpx,ntd,bla,sam,1,0,0,1,0,0,0,0,0,0
201404,blr,abn,gpx,nti,ntd,swa,blp,bdl,mul,sta,0,0,0,0,0,0,0,1,1,1
201405,rck,hgh,blp,ntd,sam,bll,gpx,bdl,bkx,bla,1,0,0,0,0,0,0,1,0,0
201406,blp,bkx,gpx,hgh,ntd,rck,bdl,bll,bla,sam,0,0,0,0,0,1,1,0,0,0
201407,ntd,bll,bla,blp,sam,bkx,bdl,gpx,hgh,rck,0,0,0,0,0,0,1,0,0,1
201408,gpx,hgh,blp,ntd,bla,bdl,bkx,rck,sam,bll,0,0,0,0,0,1,0,1,0,0
201409,sam,bdl,bll,bkx,blp,bla,rck,gpx,ntd,hgh,0,1,0,0,0,0,1,0,0,0
201410,chl,bkx,blr,rck,kcm,swa,bws,ibh,hgh,bsh,1,0,0,1,1,0,0,0,0,0
201411,bly,ntd,abn,blr,bsh,bud,bla,bws,est,hgh,0,0,0,0,0,1,0,0,1,0
201412,sta,bsf,chl,mgl,mul,sam,est,ibh,gpx,bll,1,0,1,0,1,0,1,0,0,0
201501,est,bsh,bla,mul,abn,bkx,idb,ibh,bdl,bly,1,0,0,1,0,0,0,0,1,0
201502,swa,rck,blr,bkx,ibh,bsh,hgh,kcm,bws,chl,0,1,0,0,0,0,0,1,0,1
201503,bla,bdl,sam,blr,nti,bud,kcm,rck,est,hgh,0,1,0,0,0,1,1,1,1,0
201504,blp,bla,hgh,bll,gpx,bkx,ntd,sam,rck,bdl,0,0,0,0,0,0,0,0,1,1
201505,bsh,bkx,swa,chl,bws,rck,blr,ibh,hgh,kcm,0,0,0,1,0,1,0,0,0,1
201506,bkx,bws,bly,chl,mul,ntd,gpx,kcm,abn,idb,0,0,0,1,1,0,0,1,0,0
201507,bws,ibh,chl,kcm,idb,est,nti,swa,bkx,bly,0,0,1,1,0,1,0,0,0,0
201508,blp,blr,bdl,mul,abn,swa,gpx,nti,sta,ntd,0,0,1,1,0,0,0,0,1,0
201509,mul,idb,ibh,bws,nti,bla,bkx,sta,bud,rck,1,0,0,0,0,0,0,1,1,1
201510,rck,mul,idb,bla,hgh,bud,est,kcm,bdl,bsh,1,1,0,0,0,1,1,1,1,0
201511,blp,hgh,bdl,rck,sam,bll,gpx,ntd,bla,bkx,0,0,1,1,0,0,0,0,0,0
201512,chl,blp,hgh,ibh,sam,bdl,mul,gpx,bly,blr,1,0,0,0,0,1,1,0,0,0
201601,bdl,bkx,bla,blp,gpx,rck,ntd,hgh,bll,sam,1,0,0,0,0,1,0,0,0,0
201602,blp,ntd,bla,bdl,hgh,rck,bll,gpx,sam,bkx,0,0,0,1,0,1,0,0,0,0
201603,ntd,hgh,sam,bll,bla,gpx,blp,bkx,bdl,rck,0,0,0,0,0,0,0,0,1,1
201604,mgl,bsf,bws,hgh,bly,bud,sta,ibh,bdl,abn,0,0,0,0,0,1,1,0,1,0
201605,rck,gpx,sam,hgh,bdl,bla,bkx,bll,blp,ntd,1,0,0,0,1,0,0,0,0,0
201606,idb,blr,bll,kcm,bdl,ntd,bly,abn,sam,ibh,0,0,0,1,1,0,0,0,0,0
201607,bhl,kcm,bll,bdl,sta,chl,idb,nti,bsf,est,0,1,0,1,1,1,0,0,0,1
201608,bdl,hgh,bla,bkx,blp,sam,rck,ntd,bll,gpx,1,0,0,0,0,0,1,0,0,0
201609,bws,blr,bly,abn,hgh,bkx,blp,sta,mul,bdl,0,0,0,0,0,0,0,1,1,1
201610,bkx,ntd,sam,blp,hgh,bll,bdl,bla,rck,gpx,0,0,0,0,0,0,1,0,1,0
201611,bkx,hgh,bdl,sam,bll,blp,gpx,rck,ntd,bla,0,0,1,0,0,0,0,1,0,0
