cal_yr_mo_nbr,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10
201401,rck,ntd,bsh,bll,hgh,ibh,blp,idb,blr,bla,1,0,0,1,1,0,0,1,0,0
201402,bsh,bla,bll,hgh,idb,ntd,ibh,blr,blp,rck,0,0,1,1,1,0,0,0,0,1
201403,ntd,bll,ibh,bla,blr,bsh,hgh,idb,blp,rck,0,1,0,0,0,0,1,1,0,1
201404,blr,bla,bsh,idb,ibh,rck,blp,bll,hgh,ntd,0,0,0,1,0,1,0,1,1,0
201405,ntd,ibh,bsh,idb,rck,blr,hgh,bla,bll,blp,0,0,0,1,1,0,1,0,1,0
201406,bsh,bll,hgh,ibh,idb,ntd,bla,blr,blp,rck,0,1,1,0,1,0,0,0,0,1
201407,rck,blp,bkx,bws,sta,bhl,abn,mul,nti,sam,1,0,0,0,1,0,0,1,1,0
201408,est,hgh,bud,idb,bly,bdl,blr,kcm,sam,bsf,1,1,1,1,0,1,0,1,0,0
201409,rck,bla,blr,bll,bsh,blp,ntd,hgh,idb,ibh,1,0,0,1,0,0,0,1,1,0
201410,bsh,bla,bll,ntd,idb,rck,blr,ibh,hgh,blp,0,0,1,0,1,1,0,0,1,0
201411,blr,rck,bla,blp,bsh,hgh,bll,ibh,idb,ntd,0,1,0,0,0,1,1,0,1,0
201412,swa,bla,bsh,nti,rck,sta,ibh,ntd,kcm,abn,0,0,0,1,1,1,0,0,1,0
201501,bud,bsf,bll,idb,abn,bla,ibh,hgh,bkx,blr,1,0,1,1,0,0,0,1,0,0
201502,rck,ntd,bll,bla,ibh,blp,hgh,idb,blr,bsh,1,0,1,0,0,0,1,1,0,0
201503,bll,abn,swa,blr,kcm,bsh,idb,mgl,bws,est,1,0,0,0,1,0,1,1,0,1
201504,bsh,blp,ibh,bsf,hgh,bla,kcm,rck,mgl,abn,0,0,0,0,1,0,1,1,1,0
201505,blp,bla,rck,bsh,blr,ntd,bll,ibh,hgh,idb,0,0,1,0,0,0,1,0,1,1
201506,bla,ibh,bsh,kcm,sta,swa,ntd,rck,abn,nti,0,0,0,1,1,0,0,1,0,1
201507,bsf,gpx,bud,mul,hgh,chl,ntd,sam,blr,bly,0,1,1,1,1,1,0,0,0,0
201508,bll,bsh,bla,est,abn,swa,chl,ntd,sta,mgl,1,0,0,1,0,0,1,0,1,1
201509,chl,bws,bud,bsf,idb,blp,bhl,swa,blr,nti,1,0,1,0,1,0,0,0,0,1
201510,rck,ntd,ibh,bll,hgh,blr,bsh,idb,bla,blp,1,0,0,1,1,0,0,1,0,0
201511,chl,mgl,abn,sta,swa,bsh,est,ntd,bll,bla,1,1,0,1,0,0,1,0,1,0
201512,chl,bly,hgh,mul,sam,blr,ntd,gpx,bud,bsf,1,0,1,1,0,0,0,1,1,0
201601,abn,bdl,bkx,blr,bsf,sta,mgl,ibh,bll,swa,0,1,0,0,0,1,1,0,1,0
201602,bsh,idb,blp,bla,ibh,ntd,blr,hgh,rck,bll,0,1,0,0,0,0,0,1,1,1
201603,idb,ibh,rck,blr,blp,hgh,bsh,bll,bla,ntd,1,0,1,0,0,1,0,1,0,0
201604,ntd,blr,hgh,ibh,blp,bsh,rck,idb,bll,bla,0,0,1,0,0,0,1,1,1,0
201605,ntd,hgh,rck,ibh,bla,blp,bll,blr,bsh,idb,0,1,1,0,0,0,1,0,0,1
201606,ibh,blr,blp,idb,bll,ntd,bsh,bla,rck,hgh,0,0,0,1,1,0,0,0,1,1
201607,bhl,kcm,bla,abn,swa,est,idb,sam,bly,gpx,0,1,0,0,0,1,1,0,0,1
201608,abn,idb,blr,bll,bws,swa,mgl,kcm,bsh,est,0,1,0,1,0,0,1,1,0,1
201609,hgh,bws,gpx,bhl,kcm,bly,bsf,swa,mgl,bll,1,0,1,0,1,0,0,0,1,1
201610,bll,idb,rck,bsh,ibh,blr,bla,blp,ntd,hgh,1,1,1,0,0,0,0,0,0,1
201611,bhl,idb,abn,swa,bly,est,gpx,sam,kcm,bla,0,1,0,0,0,1,1,0,1,0
201612,ntd,hgh,mul,gpx,bdl,chl,sta,idb,blp,bkx,0,1,1,1,1,1,1,1,0,0
201701,est,bsf,ntd,rck,kcm,ibh,sta,swa,bws,bll,1,0,0,1,1,0,1,0,0,1
201702,bsh,bla,nti,rck,ibh,kcm,swa,abn,sta,ntd,0,0,1,1,0,1,0,0,1,0
201703,ibh,bsh,bll,hgh,blp,idb,ntd,bla,blr,rck,0,0,1,1,0,1,0,0,0,1
201704,sta,bkx,mul,nti,blp,abn,bhl,rck,bws,sam,1,0,1,1,0,0,0,1,0,0
201705,rck,bla,bsh,blp,blr,idb,ntd,bll,ibh,hgh,1,0,0,0,0,1,0,1,0,1
201706,ntd,rck,bll,idb,blp,blr,bsh,ibh,hgh,bla,0,1,1,1,0,0,0,0,1,0
201707,bsh,blp,bla,ibh,hgh,bll,idb,blr,ntd,rck,0,0,0,0,1,1,1,0,0,1
201708,blr,bly,bsh,bdl,rck,bkx,bll,mgl,nti,gpx,0,0,0,1,1,0,1,1,1,1
201709,bla,blr,hgh,ntd,blp,idb,rck,bsh,bll,ibh,0,0,1,0,0,1,1,0,1,0
201710,bkx,bhl,swa,bdl,chl,mul,est,ibh,idb,bly,0,0,0,1,1,1,1,0,1,0
201711,mgl,abn,swa,sta,blp,bll,ntd,bud,bhl,bla,1,0,0,1,0,1,0,1,0,0
201712,bll,ibh,rck,idb,ntd,blp,hgh,blr,bsh,bla,1,0,1,1,0,0,1,0,0,0
201801,blr,bkx,nti,bsh,ibh,chl,abn,gpx,bll,hgh,0,0,1,0,0,1,0,1,1,1
201802,bsf,ntd,nti,mgl,abn,bws,gpx,kcm,idb,bly,0,0,1,1,0,0,1,1,1,0
201803,chl,hgh,bsh,mul,blr,mgl,bhl,sta,bla,bkx,1,1,0,1,0,1,0,1,0,0
201804,rck,idb,ntd,bsh,ibh,blr,hgh,bla,bll,blp,1,1,0,0,0,0,1,0,1,0
201805,bla,bll,blp,ntd,idb,ibh,rck,bsh,hgh,blr,0,1,0,0,1,0,1,0,1,0
201806,bsh,idb,blp,bll,ibh,blr,rck,ntd,hgh,bla,0,1,0,1,0,0,1,0,1,0
201807,rck,ntd,bll,mul,mgl,idb,kcm,chl,bud,bla,1,0,1,1,1,1,1,1,1,0
201808,kcm,nti,rck,bdl,blr,bws,ibh,mgl,ntd,swa,1,1,1,1,0,0,0,1,0,0
201809,blr,blp,idb,bsh,ntd,bll,hgh,rck,ibh,bla,0,0,1,0,0,1,1,1,0,0
201810,bll,idb,bud,ibh,rck,sta,chl,sam,bly,abn,1,1,1,0,1,1,1,0,0,0
201811,bhl,bws,abn,bkx,rck,sam,blp,mul,nti,sta,0,0,0,0,1,0,0,1,1,1
201812,blr,blp,bsh,bll,hgh,ntd,bla,ibh,idb,rck,0,0,0,1,1,0,0,0,1,1
201901,bdl,kcm,bud,est,mul,gpx,chl,nti,mgl,sta,1,1,1,1,0,1,1,0,1,0
201902,bdl,sta,bud,est,gpx,chl,mgl,mul,kcm,nti,1,1,1,1,1,1,1,1,1,1
201903,bdl,sta,bud,est,gpx,chl,mgl,mul,kcm,nti,0,1,1,0,1,1,0,1,1,0
201904,bud,nti,gpx,bdl,chl,est,mul,kcm,mgl,sta,1,1,0,1,1,1,0,1,1,0
201905,bud,sta,bdl,chl,est,gpx,kcm,mgl,mul,nti,1,1,1,1,1,1,1,1,1,0
201906,bud,hgh,bdl,chl,est,gpx,kcm,mgl,mul,sta,0,1,1,1,1,1,1,1,0,1
201907,bdl,hgh,chl,bud,est,gpx,kcm,mgl,sta,mul,1,0,0,1,0,0,1,1,1,1
