cal_yr_mo_nbr,brnd_cd,sales_exec
201401,swa,0
201401,bly,0
201401,bdl,0
201401,bud,1
201401,bws,0
201401,bla,0
201401,mul,0
201401,blp,0
201401,abn,1
201401,sta,1
201402,gpx,0
201402,bhl,1
201402,idb,0
201402,nti,0
201402,rck,1
201402,ntd,1
201402,bsf,1
201402,bly,0
201402,sam,0
201402,abn,1
201403,nti,0
201403,kcm,0
201403,abn,1
201403,bsf,1
201403,bud,1
201403,chl,0
201403,mul,0
201403,blr,1
201403,sta,1
201403,blp,0
201404,blp,0
201404,bly,0
201404,mul,0
201404,bws,0
201404,swa,0
201404,bla,0
201404,bdl,0
201404,bud,1
201404,sta,1
201404,abn,1
201405,sta,1
201405,bly,0
201405,mul,0
201405,swa,0
201405,blp,0
201405,bud,1
201405,abn,1
201405,bdl,0
201405,bla,0
201405,bws,0
201406,bsf,1
201406,chl,0
201406,est,1
201406,hgh,1
201406,nti,0
201406,abn,1
201406,blr,1
201406,bla,0
201406,sta,1
201406,bdl,0
201407,nti,0
201407,blp,0
201407,bsf,1
201407,swa,0
201407,bll,1
201407,bkx,0
201407,bud,1
201407,idb,0
201407,sta,1
201407,bly,0
201408,bud,1
201408,bly,0
201408,mul,0
201408,bla,0
201408,abn,1
201408,bdl,0
201408,sta,1
201408,swa,0
201408,blp,0
201408,bws,0
201409,sam,0
201409,bly,0
201409,bhl,1
201409,bsh,1
201409,blr,1
201409,ntd,1
201409,chl,0
201409,kcm,0
201409,ibh,1
201409,abn,1
201410,bly,0
201410,bdl,0
201410,sta,1
201410,mul,0
201410,swa,0
201410,blp,0
201410,bws,0
201410,bud,1
201410,bla,0
201410,abn,1
201411,blp,0
201411,abn,1
201411,bla,0
201411,bly,0
201411,bud,1
201411,bdl,0
201411,bws,0
201411,mul,0
201411,sta,1
201411,swa,0
201412,swa,0
201412,bla,0
201412,bws,0
201412,mul,0
201412,sta,1
201412,blp,0
201412,bud,1
201412,bly,0
201412,abn,1
201412,bdl,0
201501,bws,0
201501,blp,0
201501,swa,0
201501,abn,1
201501,bla,0
201501,sta,1
201501,mul,0
201501,bdl,0
201501,bly,0
201501,bud,1
201502,swa,0
201502,bdl,0
201502,abn,1
201502,bws,0
201502,bla,0
201502,bud,1
201502,mul,0
201502,blp,0
201502,bly,0
201502,sta,1
201503,bdl,0
201503,swa,0
201503,bla,0
201503,mul,0
201503,blp,0
201503,bws,0
201503,sta,1
201503,bly,0
201503,bud,1
201503,abn,1
201504,bly,0
201504,bws,0
201504,blp,0
201504,bud,1
201504,bdl,0
201504,mul,0
201504,swa,0
201504,sta,1
201504,abn,1
201504,bla,0
201505,blr,1
201505,idb,0
201505,bud,1
201505,bsh,1
201505,gpx,0
201505,blp,0
201505,chl,0
201505,bws,0
201505,est,1
201505,abn,1
201506,bll,1
201506,blr,1
201506,chl,0
201506,mul,0
201506,nti,0
201506,gpx,0
201506,mgl,1
201506,bdl,0
201506,ibh,1
201506,bud,1
201507,blr,1
201507,chl,0
201507,kcm,0
201507,idb,0
201507,est,1
201507,nti,0
201507,rck,1
201507,bkx,0
201507,bll,1
201507,hgh,1
201508,bsf,1
201508,bkx,0
201508,gpx,0
201508,bdl,0
201508,swa,0
201508,est,1
201508,idb,0
201508,sta,1
201508,ibh,1
201508,bud,1
201509,mgl,1
201509,hgh,1
201509,bsh,1
201509,mul,0
201509,bla,0
201509,bkx,0
201509,rck,1
201509,bll,1
201509,nti,0
201509,ibh,1
201510,rck,1
201510,est,1
201510,bkx,0
201510,bsh,1
201510,blp,0
201510,bsf,1
201510,hgh,1
201510,abn,1
201510,bll,1
201510,kcm,0
201511,bly,0
201511,abn,1
201511,sta,1
201511,swa,0
201511,blp,0
201511,bud,1
201511,mul,0
201511,bla,0
