cal_yr_mo_nbr,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10
201401,nti,mgl,gpx,bll,hgh,ibh,blr,kcm,chl,bhl,1,1,1,0,1,0,0,1,1,0
201402,bud,abn,bly,bws,mul,sam,hgh,bsh,bsf,sta,0,1,0,0,1,1,1,0,0,1
201403,mgl,bll,ibh,bhl,chl,gpx,hgh,kcm,blr,nti,1,0,0,0,1,1,1,1,0,1
201404,bsf,abn,bsh,gpx,chl,sta,blr,blp,bud,rck,0,1,0,1,1,1,0,0,0,1
201405,mgl,ibh,gpx,kcm,nti,chl,hgh,bhl,bll,blr,1,0,1,1,1,1,1,0,0,0
201406,gpx,bll,hgh,ibh,kcm,mgl,bhl,chl,blr,nti,1,0,1,0,1,1,0,1,0,1
201407,ntd,bsh,blr,hgh,sta,bhl,bdl,ibh,mgl,nti,1,0,0,1,1,0,0,0,1,1
201408,chl,kcm,bws,nti,bll,bdl,bhl,sam,swa,bsf,1,1,0,1,0,0,0,1,1,0
201409,nti,bhl,chl,bll,gpx,blr,mgl,hgh,kcm,ibh,1,0,1,0,1,0,1,1,1,0
201410,gpx,bhl,bll,mgl,kcm,nti,chl,ibh,hgh,blr,1,0,0,1,1,1,1,0,1,0
201411,bud,sam,bkx,bsh,bws,hgh,bly,idb,mgl,ntd,0,1,0,0,0,1,0,0,1,1
201412,swa,bhl,blr,mgl,mul,nti,bly,hgh,bsh,bdl,1,0,0,1,1,1,0,1,0,0
201501,mgl,est,bws,sta,bhl,bla,sam,ntd,bkx,chl,1,1,0,1,0,0,1,1,0,1
201502,swa,nti,bhl,bdl,mgl,blr,hgh,mul,bly,bsh,1,1,0,0,1,0,1,1,0,0
201503,bll,bhl,nti,blr,kcm,chl,ibh,mgl,gpx,hgh,0,0,1,0,1,1,0,1,1,1
201504,gpx,blr,ibh,chl,hgh,bll,kcm,nti,mgl,bhl,1,0,0,1,1,0,1,1,1,0
201505,blr,bhl,nti,gpx,chl,mgl,bll,ibh,hgh,kcm,0,0,1,1,1,1,0,0,1,1
201506,bll,chl,blr,gpx,mgl,nti,hgh,kcm,bhl,ibh,0,1,0,1,1,1,1,1,0,0
201507,blr,hgh,chl,kcm,ibh,gpx,mgl,nti,bhl,bll,0,1,1,1,0,1,1,1,0,0
201508,bud,bws,bsf,mgl,bll,swa,ibh,rck,sam,nti,0,0,0,1,0,1,0,1,1,1
201509,est,chl,bws,bud,idb,bsf,blp,sam,bsh,rck,1,1,0,0,0,0,0,1,0,1
201510,sam,rck,mul,blp,kcm,gpx,idb,nti,bla,blr,1,1,1,0,1,1,0,1,0,0
201511,hgh,idb,bkx,sam,swa,chl,ibh,ntd,bud,bsf,1,0,0,1,1,1,0,1,0,0
201512,ibh,bdl,ntd,nti,swa,abn,rck,mgl,gpx,blr,0,0,1,1,1,1,1,1,1,0
201601,bhl,bll,blr,gpx,hgh,mgl,kcm,ibh,chl,nti,0,0,0,1,1,1,1,0,1,1
201602,bud,hgh,bll,bhl,gpx,ibh,bsh,chl,swa,bla,0,1,0,0,1,0,0,1,1,0
201603,nti,mul,swa,gpx,chl,mgl,kcm,blr,bla,rck,1,1,1,1,1,1,1,0,0,1
201604,mgl,chl,hgh,ibh,blr,gpx,nti,kcm,bll,bhl,1,1,1,0,0,1,1,1,0,0
201605,mgl,hgh,nti,ibh,bhl,blr,bll,chl,gpx,kcm,1,1,1,0,0,0,0,1,1,1
201606,ibh,bsf,blr,ntd,bkx,rck,bsh,abn,swa,bws,0,0,0,1,0,1,0,1,1,0
201607,bhl,idb,bll,bdl,sta,blr,chl,kcm,blp,bws,0,0,0,0,1,0,1,1,0,0
201608,bhl,ibh,blr,bll,gpx,nti,mgl,kcm,chl,hgh,0,0,0,0,1,1,1,1,1,1
201609,ibh,gpx,hgh,bhl,kcm,blr,chl,nti,mgl,bll,0,1,1,0,1,0,1,1,1,0
201610,bhl,idb,sta,blr,chl,blp,bdl,bll,kcm,bws,0,0,1,0,1,0,0,0,1,0
201611,bhl,kcm,bdl,swa,bsf,bws,chl,sam,nti,bll,0,1,0,1,0,0,1,1,1,0
201612,rck,mgl,nti,kcm,bla,gpx,swa,mul,chl,blr,1,1,1,1,0,1,1,1,1,0
201701,chl,bll,ibh,kcm,hgh,gpx,mgl,nti,blr,bhl,1,0,0,1,1,1,1,1,0,0
201702,blr,bll,ibh,kcm,chl,gpx,nti,bhl,mgl,hgh,0,0,0,1,1,1,1,0,1,1
201703,mul,gpx,bkx,kcm,bly,ntd,rck,bhl,est,swa,1,1,0,1,0,1,1,0,1,1
201704,nti,blr,hgh,ibh,chl,bhl,bll,kcm,gpx,mgl,1,0,1,0,1,0,0,1,1,1
201705,mul,abn,bly,blp,blr,ibh,mgl,bdl,chl,bud,1,1,0,0,0,0,1,0,1,0
201706,sam,swa,bsf,mgl,bws,chl,est,ibh,gpx,bdl,1,1,0,1,0,1,1,0,1,0
201707,bsf,bkx,abn,chl,bws,bhl,gpx,blr,hgh,ntd,0,0,1,1,0,0,1,0,1,1
201708,blp,blr,bsh,abn,sam,bhl,bkx,hgh,rck,gpx,0,0,0,1,1,0,0,1,1,1
201709,bhl,chl,hgh,mgl,blr,kcm,nti,gpx,bll,ibh,0,1,1,1,0,1,1,1,0,0
201710,blr,bll,nti,bhl,gpx,mgl,hgh,ibh,kcm,chl,0,0,1,0,1,1,1,0,1,1
201711,est,blp,sam,rck,bws,bud,idb,chl,bsf,bsh,1,0,1,1,0,0,0,1,0,0
201712,bhl,gpx,sam,hgh,rck,bkx,bsh,blp,blr,abn,0,1,1,1,1,0,0,0,0,1
201801,chl,bll,nti,gpx,mgl,hgh,bhl,ibh,blr,kcm,1,0,1,1,1,1,0,0,0,1
201802,blp,sta,swa,mgl,abn,bsf,bws,kcm,chl,bhl,0,1,1,1,1,0,0,1,1,0
201803,kcm,mul,gpx,rck,est,ntd,bhl,swa,bly,bkx,1,1,1,1,1,1,0,1,0,0
201804,nti,kcm,mgl,gpx,ibh,chl,hgh,bhl,bll,blr,1,1,1,1,0,1,1,0,0,0
201805,blr,bsf,bws,sta,sam,mul,swa,hgh,ibh,chl,0,0,0,1,1,1,1,1,0,1
201806,gpx,kcm,blr,bll,ibh,chl,nti,mgl,hgh,bhl,1,1,0,0,0,1,1,1,1,0
201807,swa,rck,bkx,ntd,ibh,bsh,bws,bsf,blr,abn,1,1,0,1,0,0,0,0,0,1
201808,bud,ibh,nti,bdl,bhl,bkx,bsf,bws,hgh,swa,0,0,1,0,0,0,0,0,1,1
201809,chl,blr,kcm,gpx,mgl,bll,hgh,nti,ibh,bhl,1,0,1,1,1,0,1,1,0,0
201810,bll,ibh,chl,hgh,kcm,nti,gpx,mgl,blr,bhl,0,0,1,1,1,1,1,1,0,0
201811,blr,chl,bla,bly,kcm,sam,bud,hgh,idb,swa,0,1,0,0,1,1,0,1,0,1
201812,blp,bla,chl,bhl,gpx,sam,bdl,mgl,ntd,swa,0,0,1,0,1,1,0,1,1,1
