SURV_CWC_WSLR_CUST_PARTY_ID,CAL_YR_MO_NBR,abn_INCREASE,abn_MAINTAIN,barrelfamily_INCREASE,barrelfamily_MAINTAIN,basspaleale_INCREASE,basspaleale_MAINTAIN,bdd_INCREASE,bdd_MAINTAIN,bdl_INCREASE,bdl_MAINTAIN,bdo_INCREASE,bdo_MAINTAIN,becksfamily_INCREASE,becksfamily_MAINTAIN,bestdamnfamily_INCREASE,bestdamnfamily_MAINTAIN,bgm_INCREASE,bgm_MAINTAIN,bhl_INCREASE,bhl_MAINTAIN,bkx_INCREASE,bkx_MAINTAIN,bla_INCREASE,bla_MAINTAIN,bll_INCREASE,bll_MAINTAIN,blp_INCREASE,blp_MAINTAIN,blr_INCREASE,blr_MAINTAIN,bluepointfamily_INCREASE,bluepointfamily_MAINTAIN,breckenridgefamily_INCREASE,breckenridgefamily_MAINTAIN,bsf_INCREASE,bsf_MAINTAIN,bsh_INCREASE,bsh_MAINTAIN,bud_INCREASE,bud_MAINTAIN,budreserve_INCREASE,budreserve_MAINTAIN,bws_INCREASE,bws_MAINTAIN,cheladafamily_INCREASE,cheladafamily_MAINTAIN,chl_INCREASE,chl_MAINTAIN,devilsbackbonefamily_INCREASE,devilsbackbonefamily_MAINTAIN,elysianfamily_INCREASE,elysianfamily_MAINTAIN,est_INCREASE,est_MAINTAIN,goldenroadfamily_INCREASE,goldenroadfamily_MAINTAIN,gooseislandfamily_INCREASE,gooseislandfamily_MAINTAIN,gpx_INCREASE,gpx_MAINTAIN,hgh_INCREASE,hgh_MAINTAIN,hoe_INCREASE,hoe_MAINTAIN,ibh_MAINTAIN,idb_INCREASE,idb_MAINTAIN,kcm_INCREASE,kcm_MAINTAIN,kirinfamily_INCREASE,kirinfamily_MAINTAIN,kkn_INCREASE,kkn_MAINTAIN,leffefamily_INCREASE,leffefamily_MAINTAIN,lsl_INCREASE,lsl_MAINTAIN,mab_INCREASE,mab_MAINTAIN,mcd_MAINTAIN,mcl_INCREASE,mcl_MAINTAIN,mgl_MAINTAIN,mic_INCREASE,mic_MAINTAIN,mnt_MAINTAIN,mpg_INCREASE,mpg_MAINTAIN,mua_INCREASE,mua_MAINTAIN,muc_INCREASE,muc_MAINTAIN,mul_INCREASE,mul_MAINTAIN,nabrands_INCREASE,nabrands_MAINTAIN,nattyrushfamily_INCREASE,nattyrushfamily_MAINTAIN,nonalcbrands_INCREASE,nonalcbrands_MAINTAIN,ntd_INCREASE,ntd_MAINTAIN,nti_INCREASE,nti_MAINTAIN,othercoreplus_INCREASE,othercoreplus_MAINTAIN,otherfmb_INCREASE,otherfmb_MAINTAIN,otherhecraft_INCREASE,otherhecraft_MAINTAIN,otherheimport_INCREASE,otherheimport_MAINTAIN,otherpremium_INCREASE,otherpremium_MAINTAIN,othersuperpremium_INCREASE,othersuperpremium_MAINTAIN,peaksfamily_INCREASE,peaksfamily_MAINTAIN,pgf_INCREASE,pgf_MAINTAIN,presidentefamily_INCREASE,presidentefamily_MAINTAIN,pse_INCREASE,pse_MAINTAIN,psl_INCREASE,psl_MAINTAIN,pso_INCREASE,pso_MAINTAIN,rbg_INCREASE,rbg_MAINTAIN,rck_INCREASE,rck_MAINTAIN,ritafamily_INCREASE,ritafamily_MAINTAIN,shocktopfamily_INCREASE,shocktopfamily_MAINTAIN,spg_INCREASE,spg_MAINTAIN,spikedseltzerfamily_INCREASE,spikedseltzerfamily_MAINTAIN,sta_INCREASE,sta_MAINTAIN,stellaartoisfamily_INCREASE,stellaartoisfamily_MAINTAIN,stf_INCREASE,stf_MAINTAIN,swa_INCREASE,swa_MAINTAIN,virtuefamily_INCREASE,virtuefamily_MAINTAIN,wickedweedfamily_INCREASE,wickedweedfamily_MAINTAIN
146729412,201807,,1.0,,1.0,,,,,,1.0,,1.0,,0.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,0.0,,,,,1.0,,1.0,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,0.0,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,0.0,,1.0,,,,1.0,,1.0,,,,,,
146729412,201808,,1.0,,0.0,,,,,,1.0,,1.0,,0.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,0.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,1.0,0.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,
146729412,201809,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,0.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,0.0,,,1.0,,0.0,,1.0,,,,1.0,,1.0,,,,,,
146729412,201810,0.0,,1.0,,,1.0,0.0,,,1.0,,1.0,,1.0,,,,,0.0,,,,,,,1.0,,1.0,,,,,,1.0,,,0.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,0.0,,0.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,0.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,
146729412,201811,,,,0.0,,,,,,1.0,,,,,,,,,0.0,,,,,,,1.0,,1.0,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,1.0,,,,,,,,,,
146729412,201812,0.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,
146729465,201807,,1.0,0.0,,,,,,0.0,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,0.0,,,,,1.0,0.0,,,,,,,1.0,,,,,0.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,0.0,,,,0.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,0.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,0.0,,,1.0,,1.0,,,0.0,,,1.0,,,,,,
146729465,201808,,1.0,0.0,,,,,,0.0,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,0.0,,,,,,,1.0,,,,,0.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,0.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,1.0,,1.0,,,0.0,,,1.0,,,,,,
146729465,201809,,1.0,1.0,,,,,,0.0,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,0.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,1.0,,1.0,,,0.0,,,1.0,,,,,,
146729465,201810,0.0,,0.0,,,1.0,,1.0,0.0,,0.0,,,1.0,,,,,0.0,,,,,,,1.0,,1.0,,,,,,1.0,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,,,,,1.0,,,,1.0,,1.0,,0.0,,,1.0,,1.0,0.0,,,1.0,,1.0,,1.0,,0.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,0.0,,1.0,,1.0,,1.0,0.0,,,,0.0,,,,,,,
