SURV_CWC_WSLR_CUST_PARTY_ID,abn,barrelfamily,basspaleale,bdd,bdl,bdo,becksfamily,bestdamnfamily,bgm,bhl,bkx,bla,bll,blp,blr,bluepointfamily,breckenridgefamily,bsf,bsh,bud,budreserve,bws,cheladafamily,chl,devilsbackbonefamily,elysianfamily,est,goldenroadfamily,gooseislandfamily,gpx,hgh,hoe,ibh,idb,kcm,kirinfamily,kkn,leffefamily,lsl,mab,mcd,mcl,mgl,mic,mnt,mpg,mua,muc,mul,nabrands,nattyrushfamily,nonalcbrands,ntd,nti,othercoreplus,otherfmb,otherhecraft,otherheimport,otherpremium,othersuperpremium,peaksfamily,pgf,presidentefamily,pse,psl,pso,rbg,rck,ritafamily,shocktopfamily,spg,spikedseltzerfamily,sta,stellaartoisfamily,stf,swa,virtuefamily,wickedweedfamily
146729412,0.6,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,1.0,,0.6,,,1.0,1.0,,,0.6666666666666666,,0.75,1.0,1.0,,0.6666666666666666,,,1.0,1.0,,1.0,,,1.0,,1.0,0.0,0.5,,1.0,1.0,,,,,,1.0,,,,0.8333333333333334,,0.8,0.8333333333333334,,1.0,1.0,,,,0.6666666666666666,1.0,,,,,,,,0.75,0.5,0.75,0.5,0.8333333333333334,1.0,1.0,1.0,,,
146729465,0.5,0.25,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,,,0.75,,,0.8333333333333334,1.0,,,0.6666666666666666,,0.75,0.3333333333333333,0.5,0.0,0.8333333333333334,,,0.5,0.75,,1.0,,1.0,1.0,,0.5,1.0,0.75,0.0,0.75,1.0,1.0,,0.8,,0.6,,,,,0.8333333333333334,,1.0,1.0,,0.5,1.0,,,,1.0,1.0,,,,,1.0,,,0.6,0.5,0.2,1.0,1.0,0.0,0.0,0.75,,,
146729481,0.75,0.8,1.0,1.0,0.8333333333333334,1.0,1.0,,,0.8,,,0.8333333333333334,1.0,,,0.8333333333333334,,0.8,0.8333333333333334,1.0,1.0,0.8333333333333334,,,0.5,0.6,,0.6,,,1.0,,0.8,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,0.8333333333333334,,0.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,0.3333333333333333,0.75,1.0,0.8333333333333334,1.0,1.0,1.0,,,
146729487,0.5,0.8333333333333334,1.0,1.0,1.0,0.75,1.0,,,1.0,,,1.0,1.0,,,0.6666666666666666,,1.0,1.0,0.5,1.0,1.0,,,0.6,0.0,1.0,0.0,,,0.6,,1.0,0.0,1.0,,0.5,1.0,,,1.0,,1.0,,,,,0.8333333333333334,,,1.0,,1.0,,,,,1.0,0.6666666666666666,,,,,,,,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,,,
146729517,0.0,0.25,0.5,1.0,0.5,0.8,0.75,1.0,,0.75,,,0.8333333333333334,0.25,,1.0,0.5,,0.75,0.16666666666666666,1.0,0.0,0.5,,,1.0,0.75,,0.8,,,0.75,,0.75,1.0,1.0,,0.75,0.75,0.0,,0.0,,0.0,,,,,0.5,,1.0,0.8333333333333334,,0.8,,,,,1.0,0.6666666666666666,0.0,0.75,,1.0,1.0,1.0,,0.6,0.4,0.6,0.75,0.6666666666666666,0.3333333333333333,1.0,1.0,,,1.0
146729532,0.8333333333333334,0.75,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,,,0.0,,,0.8,0.25,,,0.6666666666666666,,0.16666666666666666,0.8333333333333334,0.0,1.0,1.0,,,0.5,1.0,,1.0,,1.0,1.0,,0.8,1.0,,,1.0,0.25,1.0,,0.25,,0.5,1.0,,,,0.5,,1.0,0.3333333333333333,1.0,0.5,,,,,1.0,,,,,,,,,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,,,
146729644,0.8333333333333334,0.5,0.0,0.5,0.8333333333333334,0.75,0.75,,,1.0,,,0.0,0.75,,,0.8333333333333334,,0.8,1.0,1.0,,0.8333333333333334,,,0.6666666666666666,0.75,,0.4,,,1.0,,1.0,,0.0,,0.75,1.0,,,,,,1.0,,,,0.8333333333333334,,,0.0,,0.8,,,,,1.0,0.6666666666666666,,,,,,,,0.75,0.4,0.6,0.8,0.3333333333333333,0.6666666666666666,1.0,0.75,,,1.0
146729689,1.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.75,1.0,1.0,0.0,0.8333333333333334,,,0.8,1.0,,1.0,0.16666666666666666,,0.8,0.5,0.5,0.8,0.8333333333333334,,,0.25,0.75,,0.25,,,0.5,,0.8,0.75,0.0,1.0,0.5,0.8,1.0,,1.0,,0.0,,,,,0.5,,1.0,0.75,,0.75,,,,,1.0,1.0,0.0,0.0,,,1.0,,,0.8333333333333334,0.3333333333333333,1.0,0.75,0.0,0.3333333333333333,1.0,1.0,,,1.0
146729727,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.0,1.0,,,0.16666666666666666,,0.5,0.5,1.0,1.0,0.8333333333333334,,,0.75,1.0,,0.16666666666666666,,0.0,1.0,,0.75,0.0,1.0,1.0,1.0,0.75,1.0,,0.0,,0.5,,,,,0.8333333333333334,,0.6,1.0,,0.0,1.0,,,,1.0,1.0,0.0,,,,,,,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0,,,0.75
146729737,0.75,0.75,0.0,0.0,0.8333333333333334,0.8,0.75,1.0,,0.75,,,1.0,1.0,,,0.6666666666666666,,0.0,0.5,0.5,0.75,0.8333333333333334,,,0.0,1.0,,0.0,,1.0,0.75,,0.5,1.0,,,0.75,1.0,0.5,,0.0,,0.0,,,,,0.5,,1.0,0.25,0.0,0.2,1.0,,,,1.0,,,,,,,,,0.0,0.8333333333333334,0.8333333333333334,0.75,1.0,0.6666666666666666,1.0,1.0,,,
