cal_yr_mo_nbr,brnd_cd,reward
201401,swa,0.0
201401,idb,0.0
201401,blr,2.0
201401,kcm,0.0
201401,nti,1.0
201401,bws,1.0
201401,rck,0.5
201401,ibh,1.0
201401,bla,1.0
201401,sam,0.5
201402,idb,0.0
201402,blr,2.0
201402,kcm,0.0
201402,rck,0.5
201402,sam,0.5
201402,nti,1.0
201402,ibh,1.0
201402,bws,1.0
201402,swa,0.0
201402,bla,1.0
201403,nti,1.0
201403,idb,0.0
201403,bdl,0.5
201403,blr,2.0
201403,bud,2.0
201403,ibh,1.0
201403,ntd,2.0
201403,blp,0.5
201403,swa,0.0
201403,bla,1.0
201404,ibh,1.0
201404,idb,0.0
201404,rck,0.5
201404,nti,1.0
201404,swa,0.0
201404,bws,1.0
201404,blr,2.0
201404,kcm,0.0
201404,sam,0.5
201404,bla,1.0
201405,mul,1.0
201405,bsh,0.5
201405,mgl,1.0
201405,swa,0.0
201405,blr,2.0
201405,bud,2.0
201405,bhl,0.0
201405,bkx,0.5
201405,bla,1.0
201405,chl,1.0
201406,idb,0.0
201406,kcm,0.0
201406,nti,1.0
201406,rck,0.5
201406,sam,0.5
201406,bla,1.0
201406,ibh,1.0
201406,bws,1.0
201406,swa,0.0
201406,blr,2.0
201407,ntd,2.0
201407,bll,1.0
201407,bws,1.0
201407,sam,0.5
201407,bhl,0.0
201407,abn,2.0
201407,chl,1.0
201407,est,0.0
201407,rck,0.5
201407,bud,2.0
201408,mul,1.0
201408,mgl,1.0
201408,rck,0.5
201408,bhl,0.0
201408,abn,2.0
201408,bdl,0.5
201408,sam,0.5
201408,swa,0.0
201408,bkx,0.5
201408,nti,1.0
201409,swa,0.0
201409,ibh,1.0
201409,blr,2.0
201409,idb,0.0
201409,bws,1.0
201409,sam,0.5
201409,kcm,0.0
201409,rck,0.5
201409,nti,1.0
201409,bla,1.0
201410,bud,2.0
201410,bla,1.0
201410,nti,1.0
201410,ntd,2.0
201410,swa,0.0
201410,blr,2.0
201410,idb,0.0
201410,ibh,1.0
201410,blp,0.5
201410,bdl,0.5
201411,bws,1.0
201411,blp,0.5
201411,bud,2.0
201411,chl,1.0
201411,est,0.0
201411,bsh,0.5
201411,mul,1.0
201411,ntd,2.0
201411,nti,1.0
201411,swa,0.0
201412,swa,0.0
201412,bws,1.0
201412,nti,1.0
201412,rck,0.5
201412,sam,0.5
201412,ibh,1.0
201412,kcm,0.0
201412,idb,0.0
201412,bla,1.0
201412,blr,2.0
201501,kcm,0.0
201501,gpx,1.0
201501,swa,0.0
201501,abn,2.0
201501,est,0.0
201501,sam,0.5
201501,mul,1.0
201501,bla,1.0
201501,hgh,2.0
201501,idb,0.0
201502,swa,0.0
201502,blr,2.0
201502,bla,1.0
201502,nti,1.0
201502,bws,1.0
201502,kcm,0.0
201502,rck,0.5
201502,ibh,1.0
201502,idb,0.0
201502,sam,0.5
201503,bkx,0.5
201503,swa,0.0
201503,bla,1.0
201503,mul,1.0
201503,blp,0.5
201503,gpx,1.0
201503,nti,1.0
201503,bud,2.0
201503,chl,1.0
201503,bhl,0.0
201504,idb,0.0
201504,nti,1.0
201504,ibh,1.0
201504,kcm,0.0
201504,blr,2.0
201504,rck,0.5
201504,swa,0.0
201504,sam,0.5
201504,bla,1.0
201504,bws,1.0
201505,bws,1.0
201505,swa,0.0
201505,idb,0.0
201505,ibh,1.0
201505,sam,0.5
201505,blr,2.0
201505,nti,1.0
201505,kcm,0.0
201505,rck,0.5
201505,bla,1.0
201506,blp,0.5
201506,blr,2.0
201506,bud,2.0
201506,kcm,0.0
201506,rck,0.5
201506,gpx,1.0
201506,idb,0.0
201506,abn,2.0
201506,ibh,1.0
201506,bsf,2.0
201507,bsf,2.0
201507,bud,2.0
201507,ntd,2.0
201507,mgl,1.0
201507,ibh,1.0
201507,rck,0.5
201507,swa,0.0
201507,bla,1.0
201507,blp,0.5
201507,idb,0.0
201508,bws,1.0
201508,blr,2.0
201508,kcm,0.0
201508,bla,1.0
201508,swa,0.0
201508,idb,0.0
201508,rck,0.5
201508,sam,0.5
201508,nti,1.0
201508,ibh,1.0
201509,hgh,2.0
201509,bud,2.0
201509,bsh,0.5
201509,idb,0.0
201509,bla,1.0
201509,bdl,0.5
201509,rck,0.5
201509,bsf,2.0
201509,mgl,1.0
201509,bws,1.0
201510,swa,0.0
201510,nti,1.0
201510,blr,2.0
201510,kcm,0.0
201510,ibh,1.0
201510,idb,0.0
201510,rck,0.5
201510,bla,1.0
201510,bws,1.0
201510,sam,0.5
201511,blp,0.5
201511,abn,2.0
201511,ntd,2.0
201511,nti,1.0
201511,bkx,0.5
201511,bly,2.0
201511,mul,1.0
201511,bhl,0.0
201511,bdl,0.5
201511,bud,2.0
201512,bud,2.0
201512,ntd,2.0
201512,rck,0.5
201512,swa,0.0
201512,bdl,0.5
201512,sta,2.0
201512,gpx,1.0
201512,bsh,0.5
201512,bll,1.0
201512,bhl,0.0
201601,bla,1.0
201601,bws,1.0
201601,idb,0.0
201601,kcm,0.0
201601,sam,0.5
201601,rck,0.5
201601,nti,1.0
201601,ibh,1.0
201601,swa,0.0
201601,blr,2.0
201602,idb,0.0
201602,bws,1.0
201602,bla,1.0
201602,nti,1.0
201602,sam,0.5
201602,ibh,1.0
201602,kcm,0.0
201602,swa,0.0
201602,blr,2.0
201602,rck,0.5
201603,ibh,1.0
201603,ntd,2.0
201603,bla,1.0
201603,bkx,0.5
201603,blp,0.5
201603,bll,1.0
201603,bhl,0.0
201603,bdl,0.5
201603,mul,1.0
201603,blr,2.0
201604,sam,0.5
201604,kcm,0.0
201604,nti,1.0
201604,bws,1.0
201604,idb,0.0
201604,swa,0.0
201604,rck,0.5
201604,blr,2.0
201604,bla,1.0
201604,ibh,1.0
201605,mul,1.0
201605,nti,1.0
201605,idb,0.0
201605,bhl,0.0
201605,bsh,0.5
201605,bsf,2.0
201605,chl,1.0
201605,est,0.0
201605,mgl,1.0
201605,gpx,1.0
201606,kcm,0.0
201606,blp,0.5
201606,ntd,2.0
201606,bll,1.0
201606,nti,1.0
201606,hgh,2.0
201606,bhl,0.0
201606,sam,0.5
201606,ibh,1.0
201606,bws,1.0
201607,blr,2.0
201607,bws,1.0
201607,bla,1.0
201607,swa,0.0
201607,idb,0.0
201607,nti,1.0
201607,sam,0.5
201607,ibh,1.0
201607,kcm,0.0
201607,rck,0.5
201608,bla,1.0
201608,bws,1.0
201608,blr,2.0
201608,idb,0.0
201608,swa,0.0
201608,sam,0.5
201608,rck,0.5
201608,ibh,1.0
201608,kcm,0.0
201608,nti,1.0
201609,ntd,2.0
201609,bsf,2.0
201609,bdl,0.5
201609,rck,0.5
201609,bll,1.0
201609,blr,2.0
201609,swa,0.0
201609,sam,0.5
201609,bla,1.0
201609,bly,2.0
201610,blr,2.0
201610,swa,0.0
201610,idb,0.0
201610,nti,1.0
201610,ibh,1.0
201610,bla,1.0
201610,bws,1.0
201610,sam,0.5
201610,kcm,0.0
201610,rck,0.5
201611,blr,2.0
201611,bla,1.0
201611,swa,0.0
201611,ibh,1.0
201611,idb,0.0
201611,kcm,0.0
201611,sam,0.5
201611,rck,0.5
201611,bws,1.0
201611,nti,1.0
201612,kcm,0.0
201612,idb,0.0
201612,est,0.0
201612,bdl,0.5
201612,bud,2.0
201612,mul,1.0
201612,hgh,2.0
201612,bly,2.0
201612,bkx,0.5
201612,gpx,1.0
201701,ibh,1.0
201701,nti,1.0
201701,rck,0.5
201701,kcm,0.0
201701,idb,0.0
201701,sam,0.5
201701,swa,0.0
201701,bws,1.0
201701,bla,1.0
201701,blr,2.0
201702,bws,1.0
201702,nti,1.0
201702,rck,0.5
201702,ibh,1.0
201702,idb,0.0
201702,swa,0.0
201702,bla,1.0
201702,sam,0.5
201702,kcm,0.0
201702,blr,2.0
201703,nti,1.0
201703,blr,2.0
201703,kcm,0.0
201703,bws,1.0
201703,rck,0.5
201703,sam,0.5
201703,bla,1.0
201703,ibh,1.0
201703,swa,0.0
201703,idb,0.0
201704,swa,0.0
201704,kcm,0.0
201704,nti,1.0
201704,ibh,1.0
201704,bla,1.0
201704,blr,2.0
201704,rck,0.5
201704,idb,0.0
201704,sam,0.5
201704,bws,1.0
201705,swa,0.0
201705,idb,0.0
201705,bws,1.0
201705,ibh,1.0
201705,rck,0.5
201705,sam,0.5
201705,blr,2.0
201705,nti,1.0
201705,kcm,0.0
201705,bla,1.0
201706,sam,0.5
201706,blr,2.0
201706,rck,0.5
201706,bws,1.0
201706,ibh,1.0
201706,idb,0.0
201706,nti,1.0
201706,kcm,0.0
201706,bla,1.0
201706,swa,0.0
201707,chl,1.0
201707,bkx,0.5
201707,mgl,1.0
201707,kcm,0.0
201707,bly,2.0
201707,ntd,2.0
201707,bws,1.0
201707,sta,2.0
201707,swa,0.0
201707,bsf,2.0
201708,ibh,1.0
201708,kcm,0.0
201708,bla,1.0
201708,swa,0.0
201708,blr,2.0
201708,bws,1.0
201708,rck,0.5
201708,sam,0.5
201708,nti,1.0
201708,idb,0.0
201709,bla,1.0
201709,kcm,0.0
201709,sam,0.5
201709,bws,1.0
201709,rck,0.5
201709,swa,0.0
201709,idb,0.0
201709,blr,2.0
201709,nti,1.0
201709,ibh,1.0
201710,bws,1.0
201710,swa,0.0
201710,bla,1.0
201710,idb,0.0
201710,sam,0.5
201710,kcm,0.0
201710,nti,1.0
201710,rck,0.5
201710,ibh,1.0
201710,blr,2.0
201711,nti,1.0
201711,swa,0.0
201711,sam,0.5
201711,idb,0.0
201711,ibh,1.0
201711,rck,0.5
201711,kcm,0.0
201711,blr,2.0
201711,bws,1.0
201711,bla,1.0
201712,blr,2.0
201712,swa,0.0
201712,rck,0.5
201712,sam,0.5
201712,bws,1.0
201712,kcm,0.0
201712,ibh,1.0
201712,idb,0.0
201712,bla,1.0
201712,nti,1.0
201801,ibh,1.0
201801,swa,0.0
201801,idb,0.0
201801,sam,0.5
201801,kcm,0.0
201801,bla,1.0
201801,nti,1.0
201801,bws,1.0
201801,rck,0.5
201801,blr,2.0
201802,bla,1.0
201802,swa,0.0
201802,sam,0.5
201802,bhl,0.0
201802,bly,2.0
201802,bud,2.0
201802,ibh,1.0
201802,est,0.0
201802,bkx,0.5
201802,sta,2.0
201803,kcm,0.0
201803,idb,0.0
201803,sam,0.5
201803,ibh,1.0
201803,rck,0.5
201803,bla,1.0
201803,swa,0.0
201803,bws,1.0
201803,blr,2.0
201803,nti,1.0
201804,swa,0.0
201804,sam,0.5
201804,hgh,2.0
201804,kcm,0.0
201804,bsf,2.0
201804,ibh,1.0
201804,bdl,0.5
201804,blp,0.5
201804,bly,2.0
201804,rck,0.5
201805,abn,2.0
201805,bla,1.0
201805,sam,0.5
201805,mul,1.0
201805,kcm,0.0
201805,sta,2.0
201805,chl,1.0
201805,idb,0.0
201805,bud,2.0
201805,bhl,0.0
201806,bws,1.0
201806,bsh,0.5
201806,bkx,0.5
201806,ibh,1.0
201806,bud,2.0
201806,sta,2.0
201806,mul,1.0
201806,hgh,2.0
201806,bhl,0.0
201806,mgl,1.0
201807,swa,0.0
201807,blr,2.0
201807,rck,0.5
201807,nti,1.0
201807,idb,0.0
201807,kcm,0.0
201807,ibh,1.0
201807,bws,1.0
201807,bla,1.0
201807,sam,0.5
201808,hgh,2.0
201808,rck,0.5
201808,abn,2.0
201808,bdl,0.5
201808,bhl,0.0
