cal_yr_mo_nbr,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10
201401,swa,sam,idb,blr,kcm,nti,bws,rck,ibh,bla,0.0,0.5,0.0,2.0,0.0,1.0,1.0,0.5,1.0,1.0
201402,idb,bla,blr,kcm,rck,sam,nti,ibh,bws,swa,0.0,1.0,2.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0
201403,nti,bla,idb,bdl,blr,bud,ibh,ntd,blp,swa,1.0,1.0,0.0,0.5,2.0,2.0,1.0,2.0,0.5,0.0
201404,ibh,bla,idb,rck,nti,swa,bws,blr,kcm,sam,1.0,1.0,0.0,0.5,1.0,0.0,1.0,2.0,0.0,0.5
201405,mul,chl,bsh,mgl,swa,blr,bud,bhl,bkx,bla,1.0,1.0,0.5,1.0,0.0,2.0,2.0,0.0,0.5,1.0
201406,idb,blr,kcm,nti,rck,sam,bla,ibh,bws,swa,0.0,2.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0
201407,ntd,bud,bll,bws,sam,bhl,abn,chl,est,rck,2.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,0.0,0.5
201408,mul,nti,mgl,rck,bhl,abn,bdl,sam,swa,bkx,1.0,1.0,1.0,0.5,0.0,2.0,0.5,0.5,0.0,0.5
201409,swa,bla,ibh,blr,idb,bws,sam,kcm,rck,nti,0.0,1.0,1.0,2.0,0.0,1.0,0.5,0.0,0.5,1.0
201410,bud,bdl,bla,nti,ntd,swa,blr,idb,ibh,blp,2.0,0.5,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.5
201411,bws,swa,blp,bud,chl,est,bsh,mul,ntd,nti,1.0,0.0,0.5,2.0,1.0,0.0,0.5,1.0,2.0,1.0
201412,swa,blr,bws,nti,rck,sam,ibh,kcm,idb,bla,0.0,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0
201501,kcm,idb,gpx,swa,abn,est,sam,mul,bla,hgh,0.0,0.0,1.0,0.0,2.0,0.0,0.5,1.0,1.0,2.0
201502,swa,sam,blr,bla,nti,bws,kcm,rck,ibh,idb,0.0,0.5,2.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0
201503,bkx,bhl,swa,bla,mul,blp,gpx,nti,bud,chl,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
201504,idb,bws,nti,ibh,kcm,blr,rck,swa,sam,bla,0.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,0.5,1.0
201505,bws,bla,swa,idb,ibh,sam,blr,nti,kcm,rck,1.0,1.0,0.0,0.0,1.0,0.5,2.0,1.0,0.0,0.5
201506,blp,bsf,blr,bud,kcm,rck,gpx,idb,abn,ibh,0.5,2.0,2.0,2.0,0.0,0.5,1.0,0.0,2.0,1.0
201507,bsf,idb,bud,ntd,mgl,ibh,rck,swa,bla,blp,2.0,0.0,2.0,2.0,1.0,1.0,0.5,0.0,1.0,0.5
201508,bws,ibh,blr,kcm,bla,swa,idb,rck,sam,nti,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0
201509,hgh,bws,bud,bsh,idb,bla,bdl,rck,bsf,mgl,2.0,1.0,2.0,0.5,0.0,1.0,0.5,0.5,2.0,1.0
201510,swa,sam,nti,blr,kcm,ibh,idb,rck,bla,bws,0.0,0.5,1.0,2.0,0.0,1.0,0.0,0.5,1.0,1.0
201511,blp,bud,abn,ntd,nti,bkx,bly,mul,bhl,bdl,0.5,2.0,2.0,2.0,1.0,0.5,2.0,1.0,0.0,0.5
201512,bud,bhl,ntd,rck,swa,bdl,sta,gpx,bsh,bll,2.0,0.0,2.0,0.5,0.0,0.5,2.0,1.0,0.5,1.0
201601,bla,blr,bws,idb,kcm,sam,rck,nti,ibh,swa,1.0,2.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0
201602,idb,rck,bws,bla,nti,sam,ibh,kcm,swa,blr,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,2.0
201603,ibh,blr,ntd,bla,bkx,blp,bll,bhl,bdl,mul,1.0,2.0,2.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0
201604,sam,ibh,kcm,nti,bws,idb,swa,rck,blr,bla,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5,2.0,1.0
201605,mul,gpx,nti,idb,bhl,bsh,bsf,chl,est,mgl,1.0,1.0,1.0,0.0,0.0,0.5,2.0,1.0,0.0,1.0
201606,kcm,bws,blp,ntd,bll,nti,hgh,bhl,sam,ibh,0.0,1.0,0.5,2.0,1.0,1.0,2.0,0.0,0.5,1.0
201607,blr,rck,bws,bla,swa,idb,nti,sam,ibh,kcm,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0
201608,bla,nti,bws,blr,idb,swa,sam,rck,ibh,kcm,1.0,1.0,1.0,2.0,0.0,0.0,0.5,0.5,1.0,0.0
201609,ntd,bly,bsf,bdl,rck,bll,blr,swa,sam,bla,2.0,2.0,2.0,0.5,0.5,1.0,2.0,0.0,0.5,1.0
201610,blr,rck,swa,idb,nti,ibh,bla,bws,sam,kcm,2.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0
201611,blr,nti,bla,swa,ibh,idb,kcm,sam,rck,bws,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0
201612,kcm,gpx,idb,est,bdl,bud,mul,hgh,bly,bkx,0.0,1.0,0.0,0.0,0.5,2.0,1.0,2.0,2.0,0.5
201701,ibh,blr,nti,rck,kcm,idb,sam,swa,bws,bla,1.0,2.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0
201702,bws,blr,nti,rck,ibh,idb,swa,bla,sam,kcm,1.0,2.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0
201703,nti,idb,blr,kcm,bws,rck,sam,bla,ibh,swa,1.0,0.0,2.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0
201704,swa,bws,kcm,nti,ibh,bla,blr,rck,idb,sam,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.5
201705,swa,bla,idb,bws,ibh,rck,sam,blr,nti,kcm,0.0,1.0,0.0,1.0,1.0,0.5,0.5,2.0,1.0,0.0
201706,sam,swa,blr,rck,bws,ibh,idb,nti,kcm,bla,0.5,0.0,2.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0
201707,chl,bsf,bkx,mgl,kcm,bly,ntd,bws,sta,swa,1.0,2.0,0.5,1.0,0.0,2.0,2.0,1.0,2.0,0.0
201708,ibh,idb,kcm,bla,swa,blr,bws,rck,sam,nti,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0
201709,bla,ibh,kcm,sam,bws,rck,swa,idb,blr,nti,1.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,2.0,1.0
201710,bws,blr,swa,bla,idb,sam,kcm,nti,rck,ibh,1.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0
201711,nti,bla,swa,sam,idb,ibh,rck,kcm,blr,bws,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,2.0,1.0
201712,blr,nti,swa,rck,sam,bws,kcm,ibh,idb,bla,2.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0
201801,ibh,blr,swa,idb,sam,kcm,bla,nti,bws,rck,1.0,2.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5
201802,bla,sta,swa,sam,bhl,bly,bud,ibh,est,bkx,1.0,2.0,0.0,0.5,0.0,2.0,2.0,1.0,0.0,0.5
201803,kcm,nti,idb,sam,ibh,rck,bla,swa,bws,blr,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,2.0
201804,swa,rck,sam,hgh,kcm,bsf,ibh,bdl,blp,bly,0.0,0.5,0.5,2.0,0.0,2.0,1.0,0.5,0.5,2.0
201805,abn,bhl,bla,sam,mul,kcm,sta,chl,idb,bud,2.0,0.0,1.0,0.5,1.0,0.0,2.0,1.0,0.0,2.0
201806,bws,mgl,bsh,bkx,ibh,bud,sta,mul,hgh,bhl,1.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,2.0,0.0
201807,swa,sam,blr,rck,nti,idb,kcm,ibh,bws,bla,0.0,0.5,2.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0
201808,hgh,mul,rck,abn,bdl,bhl,bly,ibh,kcm,sam,2.0,1.0,0.5,2.0,0.5,0.0,2.0,1.0,0.0,0.5
201809,ibh,bws,rck,idb,sam,blr,kcm,swa,nti,bla,1.0,1.0,0.5,0.0,0.5,2.0,0.0,0.0,1.0,1.0
201810,blr,nti,ibh,kcm,rck,swa,idb,sam,bws,bla,2.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0
201811,bkx,est,bdl,bly,idb,kcm,bud,gpx,hgh,mul,0.5,0.0,0.5,2.0,0.0,0.0,2.0,1.0,2.0,1.0
201812,gpx,est,hgh,bla,idb,sam,abn,kcm,mul,swa,1.0,0.0,2.0,1.0,0.0,0.5,2.0,0.0,1.0,0.0
