segment,age_segment
General Mkt Urban High Income,Middle-Age
General Mkt Suburb High Income,Middle-Age
Hispanic Urban,Middle-Age
General Mkt Suburb Low Income,Middle-Age
African American Urban,Middle-Age
African American Non-Urban,Middle-Age
General Mkt Rural Low Income,Middle-Age
Med Hispanic Non-Urban,Middle-Age
General Mkt Rural High Income,Middle-Age
General Mkt Urban Low Income,Middle-Age
Med Hispanic Urban,Middle-Age
General Mkt Urban High Income,Older-Age
General Mkt Suburb High Income,Older-Age
Hispanic Urban,Older-Age
General Mkt Suburb Low Income,Older-Age
African American Urban,Older-Age
African American Non-Urban,Older-Age
General Mkt Rural Low Income,Older-Age
Med Hispanic Non-Urban,Older-Age
General Mkt Rural High Income,Older-Age
General Mkt Urban Low Income,Older-Age
Med Hispanic Urban,Older-Age
General Mkt Urban High Income,Young-Age
General Mkt Suburb High Income,Young-Age
Hispanic Urban,Young-Age
General Mkt Suburb Low Income,Young-Age
African American Urban,Young-Age
African American Non-Urban,Young-Age
General Mkt Rural Low Income,Young-Age
Med Hispanic Non-Urban,Young-Age
General Mkt Rural High Income,Young-Age
General Mkt Urban Low Income,Young-Age
Med Hispanic Urban,Young-Age
Hispanic Non-Urban,Middle-Age
Hispanic Non-Urban,Older-Age
Hispanic Non-Urban,Young-Age
