,BRND_CD,MKT_LN_CD,stagnate,return,first_buy,rebuy,sales_total
0,10W,049,1,0,8,0,1.5000300000000004
1,10W,051,0,0,1,0,0.5
2,10W,274,0,0,2,1,0.15332669999999998
3,11W,049,2,0,9,2,2.16671
4,11W,274,0,0,3,0,0.15332669999999998
5,13W,049,1,0,14,2,2.8333899999999996
6,13W,274,0,0,9,1,0.5621979
7,17W,049,0,0,7,0,1.1666900000000002
8,18W,049,2,0,9,1,2.0000400000000007
9,18W,421,2,0,1,0,0.0384073
10,19W,049,0,0,1,0,0.16667
11,1WW,049,14,0,248,23,53.83441000000025
12,1WW,051,0,0,23,1,15.0
13,1WW,422,14,0,77,23,8.2285309
14,20W,049,1,0,1,1,0.33334
15,20W,051,1,0,3,0,2.0
16,21W,049,0,0,5,1,1.5000300000000002
17,21W,051,4,0,3,0,1.5
18,22W,049,0,0,1,0,0.16667
19,24W,049,0,0,2,0,0.33334
20,26W,049,72,4,232,297,398.34130000000124
21,26W,051,49,1,165,329,945.5
22,26W,126,49,0,104,248,105.60479709999966
23,27W,049,1,0,8,0,1.5000300000000002
24,27W,274,0,0,2,0,0.1022178
25,28W,274,1,0,1,0,0.0511089
26,30W,274,1,0,3,0,0.15332669999999998
27,34W,049,1,0,3,0,0.66668
28,34W,274,1,0,2,1,0.2044356
29,36W,049,1,0,5,3,2.8333899999999996
30,36W,274,1,0,1,0,0.0511089
31,41W,049,0,0,1,0,2.00004
32,45W,049,0,0,2,0,0.33334
33,49W,049,1,0,14,0,2.3333800000000005
34,49W,274,0,0,1,0,0.0511089
35,4WW,049,1,0,11,1,2.3333800000000005
36,4WW,274,2,0,1,0,0.0511089
37,52W,049,0,0,1,0,0.16667
38,53W,049,0,0,1,0,0.16667
39,58W,031,34,0,18,10,4.499997800000001
40,58W,049,5,0,48,19,17.33367999999999
41,58W,051,5,0,24,4,17.0
42,59W,049,0,0,0,1,0.16667
43,61W,031,22,0,60,33,18.21773570000001
44,61W,049,14,0,108,32,46.50093000000012
45,61W,051,5,0,37,39,103.0
46,61W,095,4,0,11,6,4.354839
47,63W,049,0,0,11,0,1.8333700000000006
48,63W,274,0,0,1,0,0.0511089
49,7WW,049,0,0,4,1,1.0000200000000001
50,7WW,274,0,0,2,0,0.15332669999999998
51,9WW,031,31,0,74,83,32.51611319999998
52,9WW,049,22,0,74,55,58.501170000000094
53,9WW,051,6,0,70,28,78.0
54,9WW,095,8,0,16,13,9.5806458
55,AAP,003,0,0,9,2,1.2338704
56,ABL,003,6,1,7,5,3.0483859999999994
57,ABL,004,6,1,18,12,7.693545700000001
58,ABL,040,1,0,0,0,0.1935484
59,ABN,004,0,0,1,0,0.1451613
60,ABN,017,5,0,18,43,38.51613159999999
61,ABN,025,11,1,9,35,89.12902869999998
62,ABN,029,80,1,149,742,1692.5079836000002
63,ABN,031,29,1,44,240,438.0604508999991
64,ABN,040,52,2,82,456,1013.383119600002
65,ABN,051,98,5,229,791,5109.0
66,ABN,056,226,14,387,2075,5248.306245100007
67,ABN,060,214,16,348,1823,2191.233594800016
68,ABN,061,137,4,249,977,1349.4161940000017
69,ABN,067,51,5,81,419,1856.0322849000001
70,ABN,093,5,0,2,0,1.360887
71,ABN,095,21,1,37,224,400.2580871000005
72,ABN,123,3,0,18,115,265.8387226
73,ABN,163,23,2,35,101,219.99192659999994
74,ABN,285,195,11,326,1832,4894.312318200025
75,ABN,312,42,0,110,542,981.0907765999985
76,ABN,324,68,4,92,398,801.1276957000026
77,ABN,326,3,1,2,12,6.8044332999999995
78,APP,049,0,0,5,0,1.0000200000000001
79,APP,051,0,0,4,0,2.0
80,ARE,051,19,0,20,187,819.0
81,ATH,049,2,0,8,3,7.83349
82,ATH,051,3,0,11,5,24.0
83,AWK,049,1,0,2,1,0.83335
84,AWK,051,0,0,3,0,1.5
85,AZR,049,0,0,14,0,2.5000500000000008
86,AZR,051,0,0,5,0,2.5
87,B15,285,5,1,23,14,10.061491200000006
88,B2P,004,2,0,5,0,1.3064515
89,B2P,049,5,0,5,0,1.0000200000000001
90,B2P,051,1,0,0,0,0.0
91,B3A,304,4,2,11,3,1.0161291000000001
92,B3A,324,0,0,1,3,1.3230841
93,B3M,304,1,0,2,0,0.24193550000000003
94,B3M,324,0,0,0,1,0.189012
95,B3R,304,4,1,8,4,0.7741936000000001
96,B3R,324,0,0,1,3,3.6857354000000004
97,B4A,046,0,0,1,0,0.0665323
98,B4A,049,1,0,0,0,0.0
99,B4D,049,3,0,0,0,0.0
100,B4D,051,1,0,4,1,2.5
101,B4D,126,5,0,3,0,0.21774179999999999
102,B4P,004,18,1,26,2,6.096773100000002
103,B4P,049,42,1,76,3,37.16741000000002
104,B4P,051,26,0,35,8,47.0
105,B72,049,0,0,1,0,0.16667
106,B9P,004,5,0,13,8,3.919353799999999
107,B9P,049,8,0,24,7,10.333539999999998
108,B9P,051,8,1,20,28,97.5
109,B9P,095,8,1,24,21,25.548388599999985
110,B9P,308,1,0,1,0,0.3483871
111,BAA,003,2,0,8,7,4.2096763
112,BAA,004,43,4,125,103,51.74998120000002
113,BAA,031,8,0,21,22,12.193545000000004
114,BAA,049,39,4,125,192,231.1712900000005
115,BAA,051,44,2,128,288,1043.0
116,BAA,095,0,0,3,0,1.5483872
117,BAB,060,1,1,0,0,-0.0725806
118,BAB,061,1,3,0,0,-0.21774179999999999
119,BAM,049,1,0,0,0,0.16667
120,BAN,004,13,0,32,2,7.403223700000005
121,BAN,049,20,0,51,3,13.833609999999993
122,BAN,051,31,1,81,28,137.5
